"key_word","tigrigna","amharic","english"
"Deny_All","ኩሎም ይከልከሉ","ሁሉንም ከልክል","Deny All"
"Crud_Resources","መረዳእታታት/ንብረታት","መረጃዎች","Crud Resources"
"Action_Resources","ተግባራት","ክንውኖች/ስራዎች","Action Resources"
"Allow_All","ኩሎም ፍቐድ","ሁሉንም ይፈቀዱ","Allow All"
"P_O_B","ፖስታ ሳንዱቕ ቁፅሪ","የፖስታ ሳንዱቕ ቀጥር","Post Office Box"
"Language_Strings_File","ሓረጋት ቋንቋ ዝሓዘ መዝገብ","የቋንቋ ሃረጋት የያዘው ፋይል","Language Strings File"
"Search","ኣልሽ","ፈልግ","Search"
"Search_by_Document_Number","ብመዝገብ ቁፅሪ አልሽ","በመዝገብ ቁጥር ፈልግ","Search by Document Number"
"Comment","ርኢቶ","መግለጫ","Comment"
"Language","ቛንቋ","ቋንቋ","Language"
"System_Configuration","ሲስተም መዐረይታት","ሲስተም ማስተካክያዎች","System Configuration"
"Old","ዝነበረ","የነበረ","Old"
"New","ሓድሽ","ኣዲስ","New"
"Services","ግልጋሎት","ኣገልግሎት","Services"
"Reports","ፀብፃብ","ሪፖርት","Reports"
"Settings","መስተኻከሊ","ማስተካከያ","Settings"
"Update_System_Settings","ቁልፊታት መተግበሪ ኣስተኻኽል","የመተግበሪያ መቼት ኣስተካክል","Update System Settings"
"Report_Interval_In_Months","ፀብፃብ ዝወፀሎም ኣዋርሕ በዝሒ","በሪፖርት የሚካተቱ ወራት ብዛት","Report Interval In Months"
"Report_Generation_Date","ፀብፃብ ዝወፀሉ ዕለት","ሪፖርት የሚዘጋጅበት ቀን","Report Generation Date"
"Allow_Destroy","ምስራዝ","ማጥፋት","Allow Delete"
"Allow_Show","ዕሙቕ መረዳእታ ምርኣይ","ጥልቅ መረጃ ማየት","Allow Show"
"Pagination_Size","በዝሒ መስመር ኣብ ሓደ ገፅ","የመስመር ብዛት በኣንድ ገጽ","Pagination Size"
"Allow_Store","ሓድሽ ምምዝጋብ","ኣዲስ መመዝገብ","Allow Create"
"Allow_Update","ምስትኽኻል","ማስተካከል","Allow Update"
"Allow_Index","ዝርዝር/ጠቋሚ ምርኣይ","ዝርዝር/ማውጫ ማየት","Index"
"Resource_Name","ዓይነት መረዳእታ መተግበሪ","መተግበሪያ መረጃ ኣይነት","Resource Name"
"Uncheck_All","ኩሎም ይከልከሉ","ሁሉንም ክልክል ይሁኑ","Uncheck All"
"Assign_Role_Permissions","ፍቓዳት ደረጃ ሓላፍነት መውሃቢ","የሃላፊነት ደረጃ ፈቃድ መስጫ","Assign Role Permissions"
"Permissions_Will_Be_Saved_Automatically","ፍቓዳት ብቀጥታ ክምዝገቡ እዮም","ፈቃድ በቀጥታ ይቀመጣሉ","Permissions Will Be Saved Automatically"
